arm,row,run,iops,bw_MBps,clat_p50_us,clat_p99_us,wall_s,sys_busy_cpu_s,spdk_cpu_s,tctl_c
spdk-tcp,rand4k-read-qd32,1,234689,916,127,216,13.4,29.0,12.0,61.2
spdk-tcp,rand4k-read-qd32,2,235747,920,127,216,13.4,29.4,12.0,61.8
spdk-tcp,rand4k-read-qd32,3,235030,918,127,216,13.4,29.1,12.0,62.0
spdk-tcp,rand4k-write-qd32,1,45496,177,692,880,13.4,20.2,13.0,64.5
spdk-tcp,rand4k-write-qd32,2,45175,176,700,888,13.4,19.9,13.0,64.1
spdk-tcp,rand4k-write-qd32,3,45487,177,692,880,13.4,19.9,13.0,64.0
spdk-tcp,rand4k-read-qd1,1,56401,220,11,19,13.4,24.0,11.5,62.2
spdk-tcp,rand4k-read-qd1,2,56289,219,11,19,13.4,23.7,11.5,62.6
spdk-tcp,rand4k-read-qd1,3,56145,219,11,19,13.4,23.9,11.5,63.0
spdk-tcp,rand4k-write-qd1,1,27206,106,30,35,13.4,20.8,12.3,63.9
spdk-tcp,rand4k-write-qd1,2,27167,106,30,35,13.4,21.1,12.3,63.6
spdk-tcp,rand4k-write-qd1,3,27048,105,30,35,13.4,21.0,12.3,63.5
spdk-tcp,seq128k-read-qd8,1,19178,2397,387,790,13.4,21.8,12.2,59.1
spdk-tcp,seq128k-read-qd8,2,19158,2394,387,790,13.4,22.1,12.2,59.4
spdk-tcp,seq128k-read-qd8,3,19144,2393,387,798,13.4,21.6,12.2,59.4
spdk-tcp,seq128k-write-qd8,1,1588,198,5013,6914,13.4,17.7,13.2,65.0
spdk-tcp,seq128k-write-qd8,2,1598,199,4947,6914,13.4,18.2,13.2,64.6
spdk-tcp,seq128k-write-qd8,3,1594,199,4947,6914,13.4,17.7,13.2,64.5
nvmet-tcp,rand4k-read-qd32,1,111501,435,288,391,13.4,18.0,0.0,58.1
nvmet-tcp,rand4k-read-qd32,2,111722,436,288,395,13.4,18.6,0.0,58.4
nvmet-tcp,rand4k-read-qd32,3,111312,434,288,395,13.4,18.0,0.0,57.6
nvmet-tcp,rand4k-write-qd32,1,36795,143,872,1597,13.4,18.0,0.0,59.4
nvmet-tcp,rand4k-write-qd32,2,36884,144,872,1597,13.4,18.0,0.0,59.5
nvmet-tcp,rand4k-write-qd32,3,36984,144,872,1597,13.4,18.4,0.0,59.4
nvmet-tcp,rand4k-read-qd1,1,102450,400,2,11,13.4,17.2,0.0,58.6
nvmet-tcp,rand4k-read-qd1,2,102420,400,3,12,13.4,17.3,0.0,58.2
nvmet-tcp,rand4k-read-qd1,3,102281,399,2,11,13.4,17.4,0.0,58.6
nvmet-tcp,rand4k-write-qd1,1,35849,140,23,29,13.4,17.6,0.0,58.0
nvmet-tcp,rand4k-write-qd1,2,35722,139,23,31,13.4,17.6,0.0,58.1
nvmet-tcp,rand4k-write-qd1,3,35751,139,23,29,13.4,17.7,0.0,57.4
nvmet-tcp,seq128k-read-qd8,1,12987,1623,569,1171,13.4,18.1,0.0,55.8
nvmet-tcp,seq128k-read-qd8,2,13047,1631,569,1171,13.4,18.4,0.0,56.1
nvmet-tcp,seq128k-read-qd8,3,13215,1652,569,1171,13.4,18.6,0.0,56.2
nvmet-tcp,seq128k-write-qd8,1,1961,245,4751,8585,13.4,26.2,0.0,61.5
nvmet-tcp,seq128k-write-qd8,2,1915,239,4816,8978,13.4,27.7,0.0,61.8
