arm,row,run,iops,bw_MBps,clat_p50_us,clat_p99_us,wall_s,sys_busy_cpu_s,spdk_cpu_s,tctl_c
spdk-tcp,rand4k-write-qd32,1,45580,178,708,880,13.4,68.9,13.0,73.6
spdk-tcp,rand4k-write-qd32,2,45411,177,692,888,13.4,71.4,13.0,68.5
spdk-tcp,rand4k-write-qd32,3,45469,177,692,888,13.4,71.3,13.0,69.1
spdk-tcp,rand4k-read-qd1,1,56912,222,11,19,13.4,70.0,11.5,70.1
spdk-tcp,rand4k-read-qd1,2,57263,223,11,19,13.4,73.7,11.5,69.8
spdk-tcp,rand4k-read-qd1,3,57407,224,11,19,13.4,71.3,11.5,73.4
spdk-tcp,rand4k-write-qd1,1,27727,108,30,36,13.4,75.4,12.4,73.1
spdk-tcp,rand4k-write-qd1,2,27597,107,30,35,13.4,73.3,12.3,69.1
spdk-tcp,rand4k-write-qd1,3,27518,107,30,35,13.4,72.9,12.3,68.2
spdk-tcp,seq128k-read-qd8,1,18456,2307,403,823,13.4,73.6,12.3,64.1
spdk-tcp,seq128k-read-qd8,2,18299,2287,407,823,13.4,75.2,12.3,64.8
spdk-tcp,seq128k-read-qd8,3,18434,2304,403,815,13.4,73.9,12.3,64.0
spdk-tcp,seq128k-write-qd8,1,1586,198,5013,6979,13.4,65.6,13.2,73.5
spdk-tcp,seq128k-write-qd8,2,1600,200,4947,7372,13.4,68.9,13.2,73.5
spdk-tcp,seq128k-write-qd8,3,1605,200,4947,7110,13.4,67.0,13.2,72.2
nvmet-tcp,rand4k-read-qd32,1,112568,439,284,387,13.4,61.7,0.0,58.1
nvmet-tcp,rand4k-read-qd32,2,112803,440,284,387,13.4,66.7,0.0,58.1
nvmet-tcp,rand4k-read-qd32,3,112333,438,284,391,13.4,63.4,0.0,57.8
nvmet-tcp,rand4k-write-qd32,1,37150,145,872,1613,13.4,66.7,0.0,59.5
nvmet-tcp,rand4k-write-qd32,2,37860,147,864,1581,13.4,66.9,0.0,59.6
nvmet-tcp,rand4k-write-qd32,3,37278,145,872,1581,13.4,67.3,0.0,59.2
nvmet-tcp,rand4k-read-qd1,1,102227,399,5,12,13.4,68.6,0.0,59.1
nvmet-tcp,rand4k-read-qd1,2,101477,396,5,12,13.4,67.4,0.0,59.2
nvmet-tcp,rand4k-read-qd1,3,101797,397,2,12,13.4,67.5,0.0,59.4
nvmet-tcp,rand4k-write-qd1,1,35944,140,23,29,13.4,66.0,0.0,58.2
nvmet-tcp,rand4k-write-qd1,2,35859,140,23,29,13.4,67.6,0.0,57.9
nvmet-tcp,rand4k-write-qd1,3,35442,138,23,32,13.4,69.0,0.0,58.5
nvmet-tcp,seq128k-read-qd8,1,11231,1404,667,1400,13.4,71.7,0.0,56.8
nvmet-tcp,seq128k-read-qd8,2,11319,1415,667,1417,13.4,66.7,0.0,56.8
nvmet-tcp,seq128k-read-qd8,3,11253,1406,667,1417,13.4,66.6,0.0,57.6
nvmet-tcp,seq128k-write-qd8,1,1903,238,4882,8978,13.4,79.6,0.0,62.9
nvmet-tcp,seq128k-write-qd8,2,1960,245,4685,8978,13.4,76.6,0.0,63.1
nvmet-tcp,seq128k-write-qd8,3,1889,236,4947,8978,13.4,80.8,0.0,63.9
nvmet-loop,rand4k-read-qd32,1,601298,2348,50,62,13.4,85.3,0.0,66.6
nvmet-loop,rand4k-read-qd32,2,609557,2381,49,63,13.4,88.4,0.0,66.9
nvmet-loop,rand4k-read-qd32,3,600897,2347,50,64,13.4,87.3,0.0,67.4
nvmet-loop,rand4k-write-qd32,1,434967,1699,71,113,13.4,221.5,0.0,90.9
nvmet-loop,rand4k-write-qd32,2,435908,1702,71,111,13.4,223.9,0.0,88.2
nvmet-loop,rand4k-write-qd32,3,437066,1707,70,113,13.4,223.1,0.0,85.0
nvmet-loop,rand4k-read-qd1,1,180306,704,2,10,13.4,63.8,0.0,55.8
nvmet-loop,rand4k-read-qd1,2,180085,703,2,10,13.4,64.2,0.0,56.4
nvmet-loop,rand4k-read-qd1,3,180132,703,2,10,13.4,66.7,0.0,56.9
nvmet-loop,rand4k-write-qd1,1,42013,164,21,28,13.4,64.7,0.0,58.5
nvmet-loop,rand4k-write-qd1,2,41956,163,21,28,13.4,64.3,0.0,58.9
nvmet-loop,rand4k-write-qd1,3,41970,163,21,28,13.4,65.3,0.0,58.2
nvmet-loop,seq128k-read-qd8,1,201554,25194,34,57,13.4,140.9,0.0,65.5
nvmet-loop,seq128k-read-qd8,2,201433,25179,34,57,13.4,137.7,0.0,67.6
nvmet-loop,seq128k-read-qd8,3,201214,25151,34,57,13.4,141.6,0.0,68.8
nvmet-loop,seq128k-write-qd8,1,11978,1497,610,1011,13.4,148.6,0.0,79.2
nvmet-loop,seq128k-write-qd8,2,11956,1494,610,1019,13.4,149.7,0.0,77.6
nvmet-loop,seq128k-write-qd8,3,11984,1498,610,1011,13.4,143.9,0.0,77.9
spdk-tcp,rand4k-read-qd32,1,126003,492,234,872,13.4,81.4,11.0,62.9
spdk-tcp,rand4k-read-qd32,2,126409,493,236,888,13.4,80.4,11.0,63.9
spdk-tcp,rand4k-read-qd32,3,126613,494,236,716,13.4,80.2,11.0,63.6
